,별점,리뷰내용,작성자,작성일자,공감,비공감
189,10,잊지 못한다 2012년의 그 감동 ,영화마을(pcq8****),2021.08.17 08:32,5,1
190,10,"마블의 역전, dc의 부진 ",준이맘(kwak****),2019.07.25 20:10,5,1
191,10,이 영화는 놀랍다만으로 부족한 영화인것같습니다. 잘 짜여진 각본과 히어로들의 개연성 및 파트별로 잘 나뉘어진 연출은 히어로물의 한획을 그엇습니다. 소름이 돋더군요. ,플(powe****),2019.07.07 18:40,5,1
192,10,마블이 왜 최고의 자리에 있는지 이 영화만 봐도 알 수 있다 ,Clayton Kershaw(poze****),2019.07.06 16:47,5,1
193,10,"여섯 영웅들 다 너무 멋있음 ㅠㅠ 특히 아이언맨최고,, ",zz(bosu****),2019.05.21 23:50,5,1
194,8,엔드게임을 보고 다시 본 어셈블. 새삼스럽지만 알고 다시 보니 이후 영화에 대한 힌트를 말해주고 있었다. ,슈퍼돼지(jyc1****),2019.05.03 21:17,5,1
195,10,너 때문에 마블 영화 빠돌이가 됬으니까 책임져! ,삭제당한아뒤(tkrw****),2018.09.04 12:57,5,1
196,10,마지믹에 슈와마 먹는장면 개귀엽네ㅋㅋㅋ ,juve(zi04****),2018.01.09 14:40,5,1
197,9,영웅물 선물셋. 중요한건 잼있다. ,mons****,2016.08.03 00:41,5,1
198,8,지루한 일상에 지쳤다면 이들의 깐족거림과 케미를 봐주어야 할 때 ,소라(jins****),2015.05.26 02:02,5,1
